"student","subgroup","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20"
1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1
2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
4,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
6,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
9,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1
10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
15,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
16,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1
17,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1
18,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
19,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
26,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
