"","X1.Location","X1.Threshold.1","X1.Threshold.2","X1.Threshold.3","X1.Threshold.4"
"i1",0.96,-0.58,0.5,1.55,2.38
"i2",1.29,-0.12,0.77,1.51,2.98
"i3",-0.46,-1.46,-1.68,0.39,0.94
"i4",0.91,-0.41,0.17,1.47,2.42
"i5",0.6,-1.08,0.35,1.23,1.89
"i6",-0.01,-1.91,-0.35,0.8,1.44
"i7",0.72,-1.09,0.36,1.19,2.43
"i8",-0.33,-2.01,-0.48,-0.02,1.18
"i9",0.7,-0.98,0.39,1.26,2.15
"i10",0.43,-0.92,-0.26,0.99,1.89
"i11",0.47,-1.08,0,0.82,2.12
"i12",1.09,-0.14,0.7,1.09,2.72
"i13",-0.24,-2.01,-0.72,0.59,1.17
"i14",0.25,-1.15,-0.28,0.57,1.85
"i15",1.26,-0.31,0.54,1.64,3.15
