student,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25
1,1,2,1,1,1,0,2,0,1,2,2,2,2,0,2,1,1,2,2,0,2,1,0,2,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,1,1,0,1,1,0,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1
4,1,0,1,0,0,1,0,1,2,2,1,2,2,1,1,1,1,2,2,0,2,1,1,1,1
5,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0
6,1,0,1,1,2,1,1,0,1,1,1,2,1,0,1,0,1,2,2,1,0,1,2,1,0
7,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8,2,2,1,0,0,2,1,0,2,2,2,2,2,0,2,0,1,2,2,0,2,2,0,2,2
9,0,1,1,0,1,0,0,1,1,2,1,2,2,0,0,1,1,2,1,1,2,0,2,1,1
10,2,1,0,0,0,1,0,1,2,2,2,2,1,1,2,1,1,2,2,0,1,1,0,2,1
11,2,2,2,0,0,1,1,1,0,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2
12,0,1,0,0,2,2,0,1,0,1,2,1,0,0,1,1,0,2,1,0,0,0,1,0,1
13,1,2,1,1,0,0,0,1,0,2,1,2,1,1,2,1,1,2,2,1,1,1,0,0,0
14,2,1,1,0,0,2,0,2,1,2,0,2,2,1,0,0,0,2,2,0,0,0,1,2,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
16,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2
17,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
18,2,2,2,2,0,2,1,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
19,2,2,2,1,0,1,1,0,0,2,2,2,2,2,1,1,1,2,2,0,2,0,0,2,2
20,1,1,0,0,0,1,0,0,0,2,1,2,2,2,1,2,1,2,2,0,2,0,0,2,2
21,1,1,1,1,0,1,1,1,1,2,1,2,2,1,1,1,1,2,2,0,2,1,0,1,1
22,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1
23,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2
24,1,2,2,1,0,1,2,1,0,2,2,2,2,1,1,0,1,2,2,0,2,1,0,2,2
25,2,2,2,1,1,2,0,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,0,0,1,1,1,0,1,1,2,2,1,1,1,0,2,2,1,2,0,2,2,1
